"Nome Parlamentar","Partido","UF","Titular/Suplente/Efetivado","Endereço","Anexo","Endereço (continuação)","Gabinete","Endereço (complemento)","Telefone","Fax","Mês Aniversário","Dia Aniversário","Correio Eletrônico","Nome sem Acento","Tratamento","Nome Civil"
"ABÍLIO SANTANA","PL","BA","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",531,"Brasília - DF - CEP 70160-900","3215-5531","3215-2531","02","13","dep.abiliosantana@camara.leg.br","ABILIO SANTANA","Exmo. Senhor Deputado","JOSE ABILIO SILVA DE SANTANA"
"ABOU ANNI","PSL","SP","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",339,"Brasília - DF - CEP 70160-900","3215-5339","3215-2339","11","06","dep.abouanni@camara.leg.br","ABOU ANNI","Exmo. Senhor Deputado","PAULO SERGIO ABOU ANNI"
"ACÁCIO FAVACHO","PROS","AP","T","Câmara dos Deputados, Edifício Anexo","3",", gabinete nº",284,"Brasília - DF - CEP 70160-900","3215-5284","3215-2284","09","28","dep.acaciofavacho@camara.leg.br","ACACIO FAVACHO","Exmo. Senhor Deputado","ACÁCIO DA SILVA FAVACHO NETO"
"ADOLFO VIANA","PSDB","BA","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",911,"Brasília - DF - CEP 70160-900","3215-5911","3215-2911","02","02","dep.adolfoviana@camara.leg.br","ADOLFO VIANA","Exmo. Senhor Deputado","ADOLFO VIANA DE CASTRO NETO"
"ADRIANA VENTURA","NOVO","SP","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",802,"Brasília - DF - CEP 70160-900","3215-5802","3215-2802","03","06","dep.adrianaventura@camara.leg.br","ADRIANA VENTURA","Exma. Senhora Deputada","ADRIANA MIGUEL VENTURA"
"ADRIANO DO BALDY","PP","GO","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",419,"Brasília - DF - CEP 70160-900","3215-5419","3215-2419","09","06","dep.adrianodobaldy@camara.leg.br","ADRIANO DO BALDY","Exmo. Senhor Deputado","ADRIANO ANTÔNIO AVELAR"
"AÉCIO NEVES","PSDB","MG","T","Câmara dos Deputados, Edifício Anexo","0",", gabinete nº",20,"Brasília - DF - CEP 70160-900","3215-5964","3215-2964","03","10","dep.aecioneves@camara.leg.br","AECIO NEVES","Exmo. Senhor Deputado","AÉCIO NEVES DA CUNHA"
"AFONSO FLORENCE","PT","BA","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",305,"Brasília - DF - CEP 70160-900","3215-5305","3215-2305","10","15","dep.afonsoflorence@camara.leg.br","AFONSO FLORENCE","Exmo. Senhor Deputado","AFONSO BANDEIRA FLORENCE"
"AFONSO HAMM","PP","RS","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",604,"Brasília - DF - CEP 70160-900","3215-5604","3215-2604","04","25","dep.afonsohamm@camara.leg.br","AFONSO HAMM","Exmo. Senhor Deputado","JOSÉ ALFONSO EBERT HAMM"
"AFONSO MOTTA","PDT","RS","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",528,"Brasília - DF - CEP 70160-900","3215-5528","3215-2528","01","08","dep.afonsomotta@camara.leg.br","AFONSO MOTTA","Exmo. Senhor Deputado","AFONSO ANTUNES DA MOTTA"
"AGUINALDO RIBEIRO","PP","PB","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",735,"Brasília - DF - CEP 70160-900","3215-5735","3215-2735","02","13","dep.aguinaldoribeiro@camara.leg.br","AGUINALDO RIBEIRO","Exmo. Senhor Deputado","AGUINALDO VELLOSO BORGES RIBEIRO"
"AIRTON FALEIRO","PT","PA","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",327,"Brasília - DF - CEP 70160-900","3215-5327","3215-2327","03","16","dep.airtonfaleiro@camara.leg.br","AIRTON FALEIRO","Exmo. Senhor Deputado","AIRTON LUIZ FALEIRO"
"AJ ALBUQUERQUE","PP","CE","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",708,"Brasília - DF - CEP 70160-900","3215-5708","3215-2708","09","26","dep.ajalbuquerque@camara.leg.br","AJ ALBUQUERQUE","Exmo. Senhor Deputado","ANTONIO JOSE AGUIAR ALBUQUERQUE"
"ALAN RICK","DEM","AC","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",650,"Brasília - DF - CEP 70160-900","3215-5650","3215-2650","10","23","dep.alanrick@camara.leg.br","ALAN RICK","Exmo. Senhor Deputado","ALAN RICK MIRANDA"
"ALCEU MOREIRA","MDB","RS","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",238,"Brasília - DF - CEP 70160-900","3215-5238","3215-2238","06","04","dep.alceumoreira@camara.leg.br","ALCEU MOREIRA","Exmo. Senhor Deputado","ALCEU MOREIRA DA SILVA"
"ALCIDES RODRIGUES ","PATRIOTA","GO","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",332,"Brasília - DF - CEP 70160-900","3215-5332","3215-2332","10","08","dep.alcidesrodrigues@camara.leg.br","ALCIDES RODRIGUES ","Exmo. Senhor Deputado","ALCIDES RODRIGUES FILHO"
"ALÊ SILVA","PSL","MG","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",462,"Brasília - DF - CEP 70160-900","3215-5462","3215-2462","07","04","dep.alesilva@camara.leg.br","ALE SILVA","Exma. Senhora Deputada","ALESSANDRA DA SILVA"
"ALENCAR SANTANA BRAGA","PT","SP","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",239,"Brasília - DF - CEP 70160-900","3215-5239","3215-2239","03","14","dep.alencarsantanabraga@camara.leg.br","ALENCAR SANTANA BRAGA","Exmo. Senhor Deputado","ALENCAR SANTANA BRAGA"
"ALESSANDRO MOLON","PSB","RJ","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",304,"Brasília - DF - CEP 70160-900","3215-5304","3215-2304","10","28","dep.alessandromolon@camara.leg.br","ALESSANDRO MOLON","Exmo. Senhor Deputado","ALESSANDRO LUCCIOLA MOLON"
"ALEX MANENTE","CIDADANIA","SP","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",205,"Brasília - DF - CEP 70160-900","3215-5205","3215-2205","08","22","dep.alexmanente@camara.leg.br","ALEX MANENTE","Exmo. Senhor Deputado","ALEX SPINELLI MANENTE"
